"MINISTRY OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,,,,,,,,
STATE DEPARTMENT OF AGRICULTURE,,,,,,,,,,,,,,,
AGRIBUSINESS & MKT DEVT. DEPARTMENT,,,,,,,,,,,,,,,
Market Research and Information Sub-division.,,,,,,,,,,,,,,,
E-mail: marketinfo@kilimo.go.ke or info_amdi@yahoo.com,,,,,,,,,,,,,,,
Early morning wholesale commodity prices 06-04-2020,,,,,,,,,,,,,,,
VARIETY,COMMODITY,Unit,Weight,Code,Nairobi,Kitale,Embu,Average,Max.,Min.,Stdev.,,,,
CEREALS,Dry Maize,Bag,90,20,3300,2800,2500,2867,3300,2500,404,,,,
,Green Maize,Ext. Bag,115,19,2100,3000,2300,2467,3000,2100,473,,,,
,Finger Millet,Bag,90,41,8000,4950,7000,6650,8000,4950,1555,,,,
,Sorghum,Bag,90,42,5300,3600,3000,3967,5300,3000,1193,,,,
,Wheat,Bag,90,48,,3600,3400,3500,3600,3400,,,,,
LEGUMES,Beans Canadian,Bag,90,4,8200,8000,7200,7800,8200,7200,529,,,,
 ,Beans Rosecoco,Bag,90,5,8600,7500,8000,8033,8600,7500,551,,,,
,Beans Mwitemania,Bag,90,7,7200,6000,6200,6467,7200,6000,643,,,,
,Mwezi Moja,Bag,90,6,6600,,7600,7100,7600,6600,,,,,
, Dolichos (Njahi),Bag,90,35,12600,9900,12000,11500,12600,9900,1418,,,,
,Green Gram,Bag,90,46,10600,10800,8800,10067,10800,8800,1102,,,,
,Cowpeas,Bag,90,45,6800,7000,7000,6933,7000,6800,115,,,,
,Fresh Peas,Bag,51,27,3000,3000,2550,2850,3000,2550,260,,,,
,Groundnuts,Bag,110,44,13600,17600,12000,14400,17600,12000,2884,,,,
ROOTS & TUBERS,Red Irish Potatoes,Bag,50,29,,,2200,,2200,2200,,,,,
,White Irish Potatoes,Bag,50,30,2800,2100,2000,2300,2800,2000,436,,,,
,Cassava - Fresh,Bag,99,43,2450,2900,2300,2200,2900,2300,312,,,, 
,Sweet Potatoes,Bag,98,31,3000,2400,1800,2200,3000,1800,600,,,,
HORTICULTURE,Cabbages,Ext. Bag,126,9,1400,1890,2520,1937,2520,1400,561,,,,
,Cooking Bananas,Med. Bunch,22,2,600,550,450,533,600,450,76,,,,
,Ripe Bananas,Med. Bunch,14,3,600,,550,575,600,550,,,,,
,Carrots,Ext. Bag,138,13,3300,5600,5520,4807,5600,3300,1305,,,,
,Tomatoes,Lg. Box,64,32,5700,4500,5120,5107,5700,4500,600,,,,
,Onions Dry,net,13,22,1060,1200,1650,1303,1650,1060,308,,,,
,Spring Onions,Bag,142,23,,,,#DIV/0!,0,0,,,,,
,Chillies,Bag,38,11,2800,2800,3040,2880,3040,2800,139,,,,
,Cucumber,Bag,50,14,2400,2000,2500,2300,2500,2000,265,,,,
,Capsicums,Bag,50,12,2500,2500,2000,2333,2500,2000,289,,,,
,Brinjals,Bag,44,8,1540,1350,2200,1697,2200,1350,446,,,,
 ,Cauliflower,crate,39,10,2900,,2730,2815,2900,2730,,,,,
,Lettuce,Bag,51,17,1400,,4080,2740,4080,1400,,,,,
,Passion Fruits,Bag,57,25,4100,3850,5700,4550,5700,3850,1004,,,,
,Oranges,Bag,93,24,3500,4000,2400,3300,4000,2400,819,,,,
,Lemons,Bag,95,16,2600,2850,,2725,2850,2600,177,,,,
,Mangoes Local,Bag,126,21,2600,2400,,2500,2600,2400,141,,,,
,Mangoes Ngowe,Sm. Basket,25,36,,,,#DIV/0!,0,0,,,,,
,Limes,net,13,18,2600,,,2600,2600,2600,,,,,
,Pineapples,Dozen,13,28,960,900,1500,1120,1500,900,330,,,,
,Pawpaw,Lg. Box,54,26,2000,2750,3780,2843,3780,2000,894,,,,
,Avocado,Bag,90,1,2500,1800,2200,2167,2500,1800,351,,,,
,Kales,Bag,50,15,1100,700,1200,1000,1200,700,265,,,,
OTHERS,Eggs,Tray,,47,300,330,330,320,330,300,17,,,,
