VARIETY,COMMODITY,Unit,Weight,Code,Nairobi,Nakuru,Average,Max.,Min.,Stdev.,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
CEREALS,Dry Maize,Bag,90.0,20,3150.0,2500.0,2825.0,3150,2500,459.6194077712559,,,,
,Green Maize,Ext. Bag,115.0,19,2150.0,1500.0,1825.0,2150,1500,459.6194077712559,,,,
,Finger Millet,Bag,90.0,41,8100.0,6300.0,7200.0,8100,6300,1272.7922061357856,,,,
,Sorghum,Bag,90.0,42,4700.0,4500.0,4600.0,4700,4500,141.4213562373095,,,,
,Wheat,Bag,90.0,48,,,,0,0,,,,,
LEGUMES,Beans Canadian,Bag,90.0,4,8200.0,8100.0,8150.0,8200,8100,,,,,
 ,Beans Rosecoco,Bag,90.0,5,8600.0,8100.0,8350.0,8600,8100,353.5533905932738,,,,
,Beans Mwitemania,Bag,90.0,7,7200.0,8100.0,7650.0,8100,7200,636.3961030678928,,,,
,Mwezi Moja,Bag,90.0,6,6500.0,8100.0,7300.0,8100,6500,1131.370849898476,,,,
,Dolichos (Njahi),Bag,90.0,35,10500.0,7200.0,8850.0,10500,7200,2333.452377915607,,,,
,Green Gram,Bag,90.0,46,10400.0,7200.0,8800.0,10400,7200,2262.741699796952,,,,
,Cowpeas,Bag,90.0,45,6800.0,7200.0,7000.0,7200,6800,282.842712474619,,,,
,Fresh Peas,Bag,51.0,27,3000.0,2700.0,2850.0,3000,2700,212.13203435596427,,,,
,Groundnuts,Bag,110.0,44,13200.0,16500.0,14850.0,16500,13200,2333.452377915607,,,,
ROOTS & TUBERS,Red Irish Potatoes,Bag,50.0,29,,,,0,0,,,,,
,White Irish Potatoes,Bag,50.0,30,2800.0,2800.0,2800.0,2800,2800,0.0,,,,
,Cassava - Fresh,Bag,99.0,43,2450.0,,2450.0,2450,2450,,,,, 
,Sweet Potatoes,Bag,98.0,31,5400.0,3000.0,4200.0,5400,3000,1697.0562748477141,,,,
HORTICULTURE,Cabbages,Ext. Bag,126.0,9,1400.0,600.0,1000.0,1400,600,565.685424949238,,,,
,Cooking Bananas,Med. Bunch,22.0,2,900.0,500.0,700.0,900,500,282.842712474619,,,,
,Ripe Bananas,Med. Bunch,14.0,3,850.0,,850.0,850,850,494.9747468305833,,,,
,Carrots,Ext. Bag,138.0,13,2800.0,3500.0,3150.0,3500,2800,1131.370849898476,,,,
,Tomatoes,Lg. Box,64.0,32,3100.0,1500.0,2300.0,3100,1500,106.06601717798213,,,,
,Onions Dry,net,13.0,22,800.0,650.0,725.0,800,650,1626.3455967290593,,,,
,Spring Onions,Bag,142.0,23,5400.0,3100.0,4250.0,5400,3100,424.26406871192853,,,,
,Chillies,Bag,38.0,11,2400.0,3000.0,2700.0,3000,2400,,,,,
,Cucumber,Bag,50.0,14,2400.0,,2400.0,2400,2400,0.0,,,,
,Capsicums,Bag,50.0,12,2500.0,2500.0,2500.0,2500,2500,494.9747468305833,,,,
,Brinjals,Bag,44.0,8,1500.0,2200.0,1850.0,2200,1500,,,,,
 ,Cauliflower,crate,39.0,10,2600.0,,2600.0,2600,2600,,,,,
,Lettuce,Bag,51.0,17,1400.0,,1400.0,1400,1400,353.5533905932738,,,,
,Passion Fruits,Bag,57.0,25,4000.0,4500.0,4250.0,4500,4000,1555.6349186104046,,,,
,Oranges,Bag,93.0,24,3800.0,6000.0,4900.0,6000,3800,141.4213562373095,,,,
,Lemons,Bag,95.0,16,2900.0,2700.0,2800.0,2900,2700,,,,,
,Mangoes Local,Bag,126.0,21,,2250.0,,2250,2250,,,,,
,Mangoes Ngowe,Sm. Basket,25.0,36,,400.0,,400,400,,,,,
,Limes,net,13.0,18,2900.0,,2900.0,2900,2900,353.5533905932738,,,,
,Pineapples,Dozen,13.0,28,700.0,1200.0,950.0,1200,700,,,,,
,Pawpaw,Lg. Box,54.0,26,,5400.0,,5400,5400,0.0,,,,
,Avocado,Bag,90.0,1,2500.0,2500.0,2500.0,2500,2500,70.71067811865476,,,,
,Kales,Bag,50.0,15,800.0,700.0,750.0,800,700,0.0,,,,
OTHERS,Eggs,Tray,,47,300.0,300.0,300.0,300,300,,,,,
