VARIETY,COMMODITY,Unit,Weight,Code,Nairobi,Busia,Nakuru,Average,Max.,Min.,Stdev.,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CEREALS,Dry Maize,Bag,90.0,20,2800.0,2340.0,2500.0,2546.6666666666665,2800,2340,233.5237318418266,,,,
,Green Maize,Ext. Bag,115.0,19,2100.0,,2000.0,2050.0,2100,2000,70.71067811865476,,,,
,Finger Millet,Bag,90.0,41,7800.0,5400.0,5400.0,6200.0,7800,5400,1385.6406460551018,,,,
,Sorghum,Bag,90.0,42,4500.0,2880.0,4500.0,3960.0,4500,2880,935.3074360871938,,,,
,Wheat,Bag,90.0,48,,,,,0,0,,,,,
LEGUMES,Beans Canadian,Bag,90.0,4,8200.0,,8100.0,8150.0,8200,8100,70.71067811865476,,,,
 ,Beans Rosecoco,Bag,90.0,5,8600.0,10800.0,9000.0,9466.666666666666,10800,8600,1171.8930554164672,,,,
,Beans Mwitemania,Bag,90.0,7,7200.0,,8100.0,7650.0,8100,7200,636.3961030678928,,,,
,Mwezi Moja,Bag,90.0,6,6500.0,,7200.0,6850.0,7200,6500,494.9747468305833,,,,
,Dolichos (Njahi),Bag,90.0,35,10500.0,,7000.0,8750.0,10500,7000,2474.8737341529163,,,,
,Green Gram,Bag,90.0,46,10400.0,9000.0,7200.0,8866.666666666666,10400,7200,1604.1612554021272,,,,
,Cowpeas,Bag,90.0,45,7200.0,9000.0,7200.0,7800.0,9000,7200,1039.2304845413264,,,,
,Fresh Peas,Bag,51.0,27,3000.0,3825.0,2500.0,3108.3333333333335,3825,2500,669.1101055381946,,,,
,Groundnuts,Bag,110.0,44,13200.0,19800.0,11000.0,14666.666666666666,19800,11000,4579.66519882549,,,,
ROOTS & TUBERS,Red Irish Potatoes,Bag,50.0,29,,5600.0,,5600.0,5600,5600,,,,,
,White Irish Potatoes,Bag,50.0,30,3000.0,,2820.0,2910.0,3000,2820,127.27922061357856,,,,
,Cassava - Fresh,Bag,99.0,43,2450.0,,,2450.0,2450,2450,,,,, 
,Sweet Potatoes,Bag,98.0,31,5400.0,3000.0,3000.0,3800.0,5400,3000,1385.6406460551018,,,,
HORTICULTURE,Cabbages,Ext. Bag,126.0,9,1000.0,1890.0,600.0,1163.3333333333333,1890,600,660.328201225219,,,,
,Cooking Bananas,Med. Bunch,22.0,2,800.0,650.0,400.0,616.6666666666666,800,400,202.0725942163691,,,,
,Ripe Bananas,Med. Bunch,14.0,3,800.0,700.0,,750.0,800,700,70.71067811865476,,,,
,Carrots,Ext. Bag,138.0,13,2800.0,5520.0,2600.0,3640.0,5520,2600,1631.1958803282946,,,,
,Tomatoes,Lg. Box,64.0,32,3600.0,2500.0,2000.0,2700.0,3600,2000,818.535277187245,,,,
,Onions Dry,net,13.0,22,1400.0,910.0,650.0,986.6666666666666,1400,650,380.8324215889887,,,,
,Spring Onions,Bag,142.0,23,5400.0,,3100.0,4250.0,5400,3100,1626.3455967290593,,,,
,Chillies,Bag,38.0,11,2400.0,,2500.0,2450.0,2500,2400,70.71067811865476,,,,
,Cucumber,Bag,50.0,14,2400.0,5200.0,,3800.0,5200,2400,1979.8989873223331,,,,
,Capsicums,Bag,50.0,12,2500.0,2500.0,2500.0,2500.0,2500,2500,0.0,,,,
,Brinjals,Bag,44.0,8,1600.0,1200.0,2200.0,1666.6666666666667,2200,1200,503.3222956847168,,,,
 ,Cauliflower,crate,39.0,10,2600.0,,,2600.0,2600,2600,,,,,
,Lettuce,Bag,51.0,17,1300.0,,,1300.0,1300,1300,,,,,
,Passion Fruits,Bag,57.0,25,4000.0,,4500.0,4250.0,4500,4000,353.5533905932738,,,,
,Oranges,Bag,93.0,24,4400.0,2800.0,6000.0,4400.0,6000,2800,1600.0,,,,
,Lemons,Bag,95.0,16,4200.0,7000.0,3000.0,4733.333333333333,7000,3000,2052.6405757787543,,,,
,Mangoes Local,Bag,126.0,21,1000.0,,2250.0,1625.0,2250,1000,883.8834764831844,,,,
,Mangoes Ngowe,Sm. Basket,25.0,36,,,400.0,400.0,400,400,,,,,
,Limes,net,13.0,18,3100.0,,,3100.0,3100,3100,,,,,
,Pineapples,Dozen,13.0,28,1100.0,1080.0,1200.0,1126.6666666666667,1200,1080,64.29100507328637,,,,
,Pawpaw,Lg. Box,54.0,26,,,3800.0,3800.0,3800,3800,,,,,
,Avocado,Bag,90.0,1,2500.0,,2500.0,2500.0,2500,2500,0.0,,,,
,Kales,Bag,50.0,15,1200.0,,700.0,950.0,1200,700,353.5533905932738,,,,
OTHERS,Eggs,Tray,,47,300.0,,300.0,300.0,300,300,0.0,,,,
