VARIETY,COMMODITY,Unit,Weight,Code,Nairobi,Nakuru,Average,Max.,Min.,Stdev.,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
CEREALS,Dry Maize,Bag,90.0,20,3000.0,2500.0,2750.0,3000,2500,353.5533905932738,,,,
,Green Maize,Ext. Bag,115.0,19,2300.0,2000.0,2150.0,2300,2000,212.13203435596427,,,,
,Finger Millet,Bag,90.0,41,8000.0,5400.0,6700.0,8000,5400,1838.4776310850236,,,,
,Sorghum,Bag,90.0,42,4900.0,3600.0,4250.0,4900,3600,919.2388155425118,,,,
,Wheat,Bag,90.0,48,,,,0,0,,,,,
LEGUMES,Beans Canadian,Bag,90.0,4,8200.0,8100.0,8150.0,8200,8100,,,,,
 ,Beans Rosecoco,Bag,90.0,5,8600.0,8100.0,8350.0,8600,8100,353.5533905932738,,,,
,Beans Mwitemania,Bag,90.0,7,7200.0,8100.0,7650.0,8100,7200,636.3961030678928,,,,
,Mwezi Moja,Bag,90.0,6,6000.0,8100.0,7050.0,8100,6000,1484.9242404917497,,,,
, Dolichos (Njahi),Bag,90.0,35,10500.0,7200.0,8850.0,10500,7200,2333.452377915607,,,,
,Green Gram,Bag,90.0,46,10600.0,7200.0,8900.0,10600,7200,2404.1630560342614,,,,
,Cowpeas,Bag,90.0,45,6600.0,7200.0,6900.0,7200,6600,424.26406871192853,,,,
,Fresh Peas,Bag,51.0,27,3000.0,2500.0,2750.0,3000,2500,353.5533905932738,,,,
,Groundnuts,Bag,110.0,44,13700.0,16500.0,15100.0,16500,13700,1979.8989873223331,,,,
ROOTS & TUBERS,Red Irish Potatoes,Bag,50.0,29,,,,0,0,,,,,
,White Irish Potatoes,Bag,50.0,30,2900.0,3000.0,2950.0,3000,2900,70.71067811865476,,,,
,Cassava - Fresh,Bag,99.0,43,2450.0,,2450.0,2450,2450,,,,, 
,Sweet Potatoes,Bag,98.0,31,5400.0,5000.0,5200.0,5400,5000,282.842712474619,,,,
HORTICULTURE,Cabbages,Ext. Bag,126.0,9,1400.0,600.0,1000.0,1400,600,565.685424949238,,,,
,Cooking Bananas,Med. Bunch,22.0,2,900.0,600.0,750.0,900,600,212.13203435596427,,,,
,Ripe Bananas,Med. Bunch,14.0,3,850.0,,850.0,850,850,141.4213562373095,,,,
,Carrots,Ext. Bag,138.0,13,3300.0,3500.0,3400.0,3500,3300,848.5281374238571,,,,
,Tomatoes,Lg. Box,64.0,32,3200.0,2000.0,2600.0,3200,2000,289.9137802864845,,,,
,Onions Dry,net,13.0,22,1060.0,650.0,855.0,1060,650,1626.3455967290593,,,,
,Spring Onions,Bag,142.0,23,6300.0,4000.0,5150.0,6300,4000,120.20815280171308,,,,
,Chillies,Bag,38.0,11,2450.0,2280.0,2365.0,2450,2280,,,,,
,Cucumber,Bag,50.0,14,2400.0,,2400.0,2400,2400,0.0,,,,
,Capsicums,Bag,50.0,12,2500.0,2500.0,2500.0,2500,2500,466.6904755831214,,,,
,Brinjals,Bag,44.0,8,1540.0,2200.0,1870.0,2200,1540,,,,,
 ,Cauliflower,crate,39.0,10,2950.0,,2950.0,2950,2950,,,,,
,Lettuce,Bag,51.0,17,1400.0,,1400.0,1400,1400,282.842712474619,,,,
,Passion Fruits,Bag,57.0,25,4100.0,4500.0,4300.0,4500,4100,1400.071426749364,,,,
,Oranges,Bag,93.0,24,3600.0,5580.0,4590.0,5580,3600,282.842712474619,,,,
,Lemons,Bag,95.0,16,2600.0,3000.0,2800.0,3000,2600,,,,,
,Mangoes Local,Bag,126.0,21,,,,0,0,,,,,
,Mangoes Ngowe,Sm. Basket,25.0,36,,,,0,0,,,,,
,Limes,net,13.0,18,2600.0,,2600.0,2600,2600,381.8376618407357,,,,
,Pineapples,Dozen,13.0,28,660.0,1200.0,930.0,1200,660,,,,,
,Pawpaw,Lg. Box,54.0,26,,3500.0,,3500,3500,353.5533905932738,,,,
,Avocado,Bag,90.0,1,2500.0,2000.0,2250.0,2500,2000,212.13203435596427,,,,
,Kales,Bag,50.0,15,900.0,600.0,750.0,900,600,0.0,,,,
OTHERS,Eggs,Tray,,47,300.0,300.0,300.0,300,300,,,,,
